Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
221110,Afdera,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Rhyolite, , , , ,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , ,51,6042,8611,161009
382081,Aflitos,Cone of Picos Volcanic System,,,,,,,,,,,,,,,,,,,,,,,
244030,Afolau,Cone of Upolu,,,,,,,,,,,,,,,,,,,,,,,
244020,Afono,Dome of Tutuila,,,,,,,,,,,,,,,,,,,,,,,
383020,"Afosa, Montaña de",Pyroclastic cone of Hierro,,,,,,,,,,,,,,,,,,,,,,,
221110,Afrera,Synonym of Afdera,,,,,,,,,,,,,,,,,,,,,,,
244040,Afutina,Cone of Savai'i,,,,,,,,,,,,,,,,,,,,,,,
311360,Agajedan,Synonym of Shishaldin,,,,,,,,,,,,,,,,,,,,,,,
311300,Agaschagoch,Synonym of Bogoslof,,,,,,,,,,,,,,,,,,,,,,,
221160,Agelu,Synonym of Ayelu,,,,,,,,,,,,,,,,,,,,,,,
212050,Agios Joannis,Vent of Nisyros,,,,,,,,,,,,,,,,,,,,,,,
212020,Agios Nikolaos,Thermal of Methana,,,,,,,,,,,,,,,,,,,,,,,
214070,Agmagan-Karadag,Synonym of Ghegam Ridge,,,,,,,,,,,,,,,,,,,,,,,
211010,Agnano,Caldera of Campi Flegrei,,,,,,,,,,,,,,,,,,,,,,,
211010,Agnano Monte Spina,Crater of Campi Flegrei,,,,,,,,,,,,,,,,,,,,,,,
264020,Agoeng,Synonym of Agung,,,,,,,,,,,,,,,,,,,,,,,
210030,"Agonia, Puig S'",Cone of Olot Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
213040,Agri Dagi,Synonym of Ararat,,,,,,,,,,,,,,,,,,,,,,,
284160,Agrigan,Stratovolcano,1917,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.77,145.67,965,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
284160,Agrihan,Synonym of Agrigan,,,,,,,,,,,,,,,,,,,,,,,
357090,"Agrio, del",Synonym of Caviahue,,,,,,,,,,,,,,,,,,,,,,,
341031,"Agritas, Volcán las",Dome of Mascota Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
342100,Agua,Stratovolcano,Unknown,Guatemala,México and Central America,Guatemala,14.465,-90.743,3760,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,9890,114404,2530449,7441660
343070,"Agua Agria, Ausoles de",Thermal of San Vicente,,,,,,,,,,,,,,,,,,,,,,,
355094,"Agua Amarga, Cerro",Dome of Purico Complex,,,,,,,,,,,,,,,,,,,,,,,
341061,"Agua Bendita, Cerro",Cone of Zitácuaro-Valle de Bravo,,,,,,,,,,,,,,,,,,,,,,,
341120,Agua Caliente,"Thermal of Chichon, El",,,,,,,,,,,,,,,,,,,,,,,
355150,Agua Caliente del Tuzgle,Thermal of Tuzgle,,,,,,,,,,,,,,,,,,,,,,,
321050,Agua Caliente Hot Springs,Hot Spring of St. Helens,,,,,,,,,,,,,,,,,,,,,,,
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,Azores,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,406,17272,113131,119653
357066,Agua de Torres,Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
345040,"Agua Fría, Laguna de",Synonym of Poas,,,,,,,,,,,,,,,,,,,,,,,
341012,"Agua Grande, Cerro",Pyroclastic cone of Comondu-La Purisima,,,,,,,,,,,,,,,,,,,,,,,
357066,Agua Poca,Vent of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
343010,Agua Shuca,Thermal of Apaneca Range,,,,,,,,,,,,,,,,,,,,,,,
353050,"Agua, Cerro","Pyroclastic cone of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
341080,"Agua, Cerro del",Pyroclastic cone of Chichinautzin,,,,,,,,,,,,,,,,,,,,,,,
344020,"Agua, Laguna de",Crater of San Cristobal (Nicaragua),,,,,,,,,,,,,,,,,,,,,,,
382050,Agualva,Dome of Terceira,,,,,,,,,,,,,,,,,,,,,,,
355100,Aguas Calientes,Stratovolcano of Lascar,,,,,,,,,,,,,,,,,,,,,,,
355108,Aguas Perdidas,"Synonym of Negrillar, La",,,,,,,,,,,,,,,,,,,,,,,
345020,Aguas Termales,Thermal of Rincon de la Vieja,,,,,,,,,,,,,,,,,,,,,,,
345034,Aguas Zarcas,Pyroclastic cone of Platanar,,,,,,,,,,,,,,,,,,,,,,,
344040,"Aguero, Cerro de",Cone of Telica,,,,,,,,,,,,,,,,,,,,,,,
343010,"Aguila, Cerro el",Stratovolcano of Apaneca Range,,,,,,,,,,,,,,,,,,,,,,,
341060,"Aguila, Cerro la",Stratovolcano of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
357066,"Aguila, El",Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
341130,"Aguila, El",Synonym of San Antonio,,,,,,,,,,,,,,,,,,,,,,,
341070,"Aguila, Pico del","Dome of Toluca, Nevado de",,,,,,,,,,,,,,,,,,,,,,,
341093,"Aguilas, Las","Dome of Humeros, Los",,,,,,,,,,,,,,,,,,,,,,,
358062,Aguilera,Stratovolcano,-1250,Chile,South America,Southern Chile and Argentina,-50.33,-73.75,2546,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite, , , , , , , , , ,0,0,103,5698
341012,"Aguilillas, Cerro",Pyroclastic cone of Comondu-La Purisima,,,,,,,,,,,,,,,,,,,,,,,
264020,Agung,Stratovolcano,2018,Indonesia,Indonesia,Lesser Sunda Islands,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,5657,76781,968381,4550176
263130,Agung,Crater of Guntur,,,,,,,,,,,,,,,,,,,,,,,
283210,Aguroshi-yama,Cone of Kurikomayama,,,,,,,,,,,,,,,,,,,,,,,
322070,Ahalapan Cinder Field,Pyroclastic cone of Three Sisters,,,,,,,,,,,,,,,,,,,,,,,
341080,"Aholo, Volcán",Cone of Chichinautzin,,,,,,,,,,,,,,,,,,,,,,,
251050,Ahrup,Synonym of Long Island,,,,,,,,,,,,,,,,,,,,,,,
341030,"Ahuacatlán, Volcán de",Synonym of Ceboruco,,,,,,,,,,,,,,,,,,,,,,,
343010,Ahuachapán,Synonym of Apaneca Range,,,,,,,,,,,,,,,,,,,,,,,
341092,"Ahuatepec, Cerro",Cone of Serdán-Oriental,,,,,,,,,,,,,,,,,,,,,,,
341080,"Ahuazatépetl, Volcán",Pyroclastic cone of Chichinautzin,,,,,,,,,,,,,,,,,,,,,,,
332030,Ahumoa,Cone of Mauna Kea,,,,,,,,,,,,,,,,,,,,,,,
284141,Ahyi,Submarine,2014,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
221160,Aielu,Synonym of Ayelu,,,,,,,,,,,,,,,,,,,,,,,
311310,Aigagin,Synonym of Makushin,,,,,,,,,,,,,,,,,,,,,,,
210030,"Aiguanegra, Volcà",Cone of Olot Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
234020,Aiguille Noire,Cone of Kerguelen Islands,,,,,,,,,,,,,,,,,,,,,,,
332010,Ai-Laau,Shield volcano of Kilauea,,,,,,,,,,,,,,,,,,,,,,,
360120,Aileron,Dome of Pelée,,,,,,,,,,,,,,,,,,,,,,,
283120,Ainomine,Cone of Kusatsu-Shiranesan,,,,,,,,,,,,,,,,,,,,,,,
290100,Ainu Tukap,Synonym of Tukap,,,,,,,,,,,,,,,,,,,,,,,
282080,Aira,Pleistocene caldera of Aira,,,,,,,,,,,,,,,,,,,,,,,
282080,Aira,Caldera,2018,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.593,130.657,1117,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,4918,113874,905254,2610033
341060,"Aire, Cerro del",Pyroclastic cone of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
266030,Aisepoet,Synonym of Aeseput,,,,,,,,,,,,,,,,,,,,,,,
320100,Aiyansh Volcano,Synonym of Tseax River Cone,,,,,,,,,,,,,,,,,,,,,,,
283160,Aizu-Fuji,Synonym of Bandaisan,,,,,,,,,,,,,,,,,,,,,,,
283160,Aizu-yama,Synonym of Bandaisan,,,,,,,,,,,,,,,,,,,,,,,
311310,Ajagin,Synonym of Makushin,,,,,,,,,,,,,,,,,,,,,,,
311310,Ajagisch,Synonym of Makushin,,,,,,,,,,,,,,,,,,,,,,,
263130,Ajakan,Synonym of Ayakan,,,,,,,,,,,,,,,,,,,,,,,
355012,"Ajata, Volcanes de",Pyroclastic cone of Parinacota,,,,,,,,,,,,,,,,,,,,,,,
263300,Ajek-Ajek,Caldera of Semeru,,,,,,,,,,,,,,,,,,,,,,,
221160,Ajel,Synonym of Ayelu,,,,,,,,,,,,,,,,,,,,,,,
221160,Ajelou,Synonym of Ayelu,,,,,,,,,,,,,,,,,,,,,,,
341080,"Ajusco, Volcán",Dome of Chichinautzin,,,,,,,,,,,,,,,,,,,,,,,
285060,Aka-dake,Stratovolcano of Taisetsuzan,,,,,,,,,,,,,,,,,,,,,,,
290290,Aka-dake,Synonym of Sinarka,,,,,,,,,,,,,,,,,,,,,,,
300125,Akademia Nauk,Stratovolcano(es),1996,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , ,3,3,615,12484
300260,Akademia Nauk,Fissure vent of Klyuchevskoy,,,,,,,,,,,,,,,,,,,,,,,
300125,Akademia Nauk Springs,Hot Spring of Akademia Nauk,,,,,,,,,,,,,,,,,,,,,,,
283130,Akagi,Synonym of Akagisan,,,,,,,,,,,,,,,,,,,,,,,
283130,Akagisan,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.56,139.193,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,961,4538,1116366,16718375
283160,Akahani-yama,Stratovolcano of Bandaisan,,,,,,,,,,,,,,,,,,,,,,,
282110,Akai,Pyroclastic cone of Asosan,,,,,,,,,,,,,,,,,,,,,,,
282091,Akajima,Cone of Fukue,,,,,,,,,,,,,,,,,,,,,,,
283010,Akakubo,Cone of Izu-Tobu,,,,,,,,,,,,,,,,,,,,,,,
283100,Akakura,Thermal of Myokosan,,,,,,,,,,,,,,,,,,,,,,,
283280,Akakura-dake,Cone of Hakkodasan,,,,,,,,,,,,,,,,,,,,,,,
282110,Akamizu,Thermal of Asosan,,,,,,,,,,,,,,,,,,,,,,,
285070,Akan,Caldera,2008,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.384,144.013,1499,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,2062,2062,9756,929538
285070,Akan,Caldera of Akan,,,,,,,,,,,,,,,,,,,,,,,
283131,Akanagure,Dome of Hiuchigatake,,,,,,,,,,,,,,,,,,,,,,,
283069,Akandanayama,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.2,137.573,2109,,Evidence Credible, , , , , , , , , , ,0,0,0,0
283069,Akandana-yama,Synonym of Akandanayama,,,,,,,,,,,,,,,,,,,,,,,
285070,Akan-Fuji,Stratovolcano of Akan,,,,,,,,,,,,,,,,,,,,,,,
285070,Akan-Huzi,Synonym of Akan-Fuji,,,,,,,,,,,,,,,,,,,,,,,
285070,Akan-Kohan,Thermal of Akan,,,,,,,,,,,,,,,,,,,,,,,
