,users,bookmarks,county,state,cal,cal_fat,col,fiber,sodium,carbs,fat,protein,sugar,dabetis,obese
669,141,3826,Lake,Illinois,336.6583899634083,159828.2801881861,65.01463669628853,2392.6816518557243,622.6097752221639,28126.13695765814,17758.91270256142,16352.14323052796,10156.717198118142,4,3
670,1,43,Lake of the Woods,Minnesota,334.6046511627907,151302.32558139536,56.534883720930246,2604.651162790697,674.7906976744185,31490.697674418614,16800.0,14665.116279069764,10858.139534883718,,
671,7,202,Lamar,Texas,312.6980198019802,146252.47524752474,56.71782178217821,1801.4851485148513,478.4752475247526,30495.049504950493,16246.039603960395,11930.19801980198,16545.049504950493,4,2
672,1,18,Lamb,Texas,214.77777777777774,97888.88888888886,34.16666666666667,1616.666666666667,273.22222222222223,25077.777777777777,10888.888888888889,5472.222222222223,11800.0,3,2
673,1,1,Lamoille,Vermont,595.0,287000.0,91.0,11600.0,1575.0,47900.0,31900.0,34900.0,13000.0,2,2
674,2,29,Lampasas,Texas,381.6896551724138,170551.72413793104,81.20689655172414,2558.620689655173,624.8620689655173,31803.44827586207,18951.72413793104,19834.482758620692,9941.37931034483,3,2
675,115,2609,Lancaster,Pennsylvania,332.44078190877724,154869.6818704485,61.43963204292835,2268.110387121503,574.5519356075122,29807.934074357974,17205.749329244896,15047.029513223459,11221.655806822528,5,2
676,67,1647,Lane,Oregon,342.6581663630844,165061.32361870064,64.36308439587128,2412.325440194292,556.7292046144507,30378.14207650272,18338.737097753492,14703.460837887063,12122.890103217971,2,2
677,3,6,Langlade,Wisconsin,191.83333333333331,105500.0,49.66666666666667,1000.0,379.33333333333337,11066.666666666664,11733.333333333332,11100.0,3083.333333333333,3,2
678,10,96,Lapeer,Michigan,348.75,154562.5,63.5,2958.333333333333,506.1875,32635.416666666664,17173.958333333336,16226.041666666668,12882.291666666668,3,3
679,12,149,Laramie,Wyoming,370.5771812080537,177852.3489932886,73.46979865771813,2288.590604026845,601.8187919463087,30093.288590604025,19760.40268456376,18055.704697986577,9593.288590604026,2,2
680,42,1787,Larimer,Colorado,342.43816452154437,164887.52098489087,63.54057078903193,2264.5215444879677,584.0968102965868,29935.70229434808,18321.824286513704,14987.409065472864,12167.263570229441,1,1
681,4,316,Larue,Kentucky,324.2879746835444,153810.12658227846,53.16772151898734,2840.506329113925,651.1265822784811,29652.53164556962,17089.556962025315,13860.443037974685,11706.645569620256,4,2
682,1,46,Las Animas,Colorado,420.4130434782609,214956.52173913046,97.04347826086956,2221.7391304347825,747.7608695652173,31332.60869565217,23869.565217391304,20841.304347826088,6634.782608695652,2,2
683,2,18,Lassen,California,315.1111111111111,126500.0,41.83333333333333,4738.88888888889,617.0555555555555,35127.77777777778,14066.666666666668,14016.666666666664,6044.444444444444,2,2
684,8,157,Latah,Idaho,313.0700636942676,146598.72611464967,66.70700636942675,1801.2738853503186,570.0191082802547,26523.566878980888,16287.261146496814,15568.7898089172,11767.515923566874,2,2
685,1,9,Latimer,Oklahoma,459.22222222222223,209222.22222222228,104.22222222222223,2066.666666666667,700.1111111111112,28733.333333333336,23244.44444444444,31266.66666666667,4588.88888888889,4,3
686,8,95,Lauderdale,Tennessee,362.51578947368415,177526.31578947368,79.2421052631579,2010.526315789474,534.4421052631578,29625.263157894737,19726.31578947369,16967.368421052633,11048.421052631576,3,3
687,1,2,Laurel,Kentucky,265.5,43500.0,33.5,1950.0,234.5,50400.0,4900.0,5900.0,20050.0,5,3
688,5,333,Laurens,South Carolina,325.24924924924926,150861.86186186186,59.375375375375384,1603.003003003003,476.9819819819819,32643.543543543536,16761.56156156156,11769.96996996997,16802.402402402404,4,3
689,1,1,Lavaca,Texas,265.0,164000.0,56.0,1200.0,1136.0,15100.0,18200.0,10000.0,6300.0,4,2
690,38,762,Lawrence,Pennsylvania,357.20734908136484,168829.39632545933,70.94094488188975,1926.3779527559045,637.5944881889762,29437.007874015762,18758.92388451444,17771.784776902892,12612.073490813653,4,3
691,3,43,Le Flore,Oklahoma,360.4186046511628,157465.11627906974,55.37209302325582,4295.348837209303,703.3720930232561,38769.76744186047,17497.674418604653,13458.139534883721,12758.139534883721,4,2
692,3,58,Le Sueur,Minnesota,298.43103448275866,140017.24137931032,49.948275862068975,1667.2413793103449,576.4827586206899,27403.44827586207,15555.172413793103,12943.103448275866,15089.655172413792,2,2
693,1,8,Lea,New Mexico,324.75,169750.0,51.25,1825.0,657.75,30100.0,18875.0,8237.5,10687.5,2,2
694,2,27,Leake,Mississippi,407.8148148148149,194777.77777777772,91.88888888888887,2266.666666666667,558.5925925925926,30207.4074074074,21633.33333333333,22944.44444444444,9955.555555555555,4,3
695,7,61,Leavenworth,Kansas,304.19672131147547,145655.73770491802,62.65573770491805,2370.491803278689,504.96721311475403,28177.049180327867,16193.442622950815,11881.967213114753,11049.180327868853,3,2
696,11,478,Lebanon,Pennsylvania,345.22803347280336,160219.66527196654,64.42259414225941,1615.8995815899582,430.06276150627616,35369.87447698744,17803.347280334732,11360.878661087869,18901.882845188284,3,2
697,98,3721,Lee,Florida,328.3388873958615,154185.9715130341,61.214727223864536,2294.7863477559813,562.715936576188,29654.66272507391,17130.610051061536,14387.100241870465,12234.61435098092,4,3
698,2,20,Leelanau,Michigan,370.9,167250.0,77.15,1870.0,442.19999999999993,32180.0,18580.0,18270.0,15970.0,3,2
699,2,94,Leflore,Mississippi,393.76595744680856,211382.97872340426,85.91489361702128,2404.2553191489365,712.7127659574468,26808.510638297877,23488.29787234043,19060.63829787234,9474.468085106386,5,3
700,29,1902,Lehigh,Pennsylvania,314.7045215562565,151289.6950578338,57.48422712933753,2157.097791798107,488.9616193480549,28792.429022082026,16809.411146161925,12544.269190325967,12734.752891692957,3,2
701,1,6,Lemhi,Idaho,229.83333333333331,96166.66666666669,27.33333333333333,883.3333333333335,178.83333333333331,32700.0,10716.666666666666,2250.0,23050.0,3,2
702,8,365,Lenawee,Michigan,343.6493150684932,164756.16438356167,65.46849315068494,1998.082191780822,600.9534246575341,28679.178082191782,18303.561643835616,16144.383561643835,10943.835616438355,3,3
703,29,618,Leon,Florida,349.96763754045287,165281.55339805825,65.50970873786407,2593.851132686085,609.2491909385111,31639.320388349508,18363.91585760518,15044.822006472485,12002.10355987055,3,2
704,18,476,Lewis,Washington,342.68487394957975,165934.87394957978,63.67857142857142,2148.5294117647054,569.3193277310924,30030.882352941167,18435.50420168067,14765.966386554624,12379.621848739496,5,2
705,8,286,Lewis and Clark,Montana,312.76573426573435,140933.56643356648,55.96503496503496,2915.384615384615,524.1433566433567,29789.51048951049,15657.34265734266,13873.426573426572,11770.629370629367,2,2
706,23,474,Lexington,South Carolina,342.50632911392404,160928.2700421941,67.5210970464135,2381.2236286919856,606.7995780590717,29200.843881856545,17879.95780590717,16516.877637130805,11427.215189873421,3,2
707,17,424,Liberty,Georgia,351.0141509433962,162983.49056603774,68.17924528301887,2502.594339622641,565.2853773584906,31233.726415094337,18108.96226415094,16210.377358490568,10249.056603773584,3,2
708,16,391,Licking,Ohio,323.13043478260875,149810.74168797955,60.85677749360613,2312.0204603580564,585.6803069053707,28509.207161125316,16648.081841432224,15218.414322250639,11451.150895140669,4,2
709,5,158,Limestone,Texas,344.2721518987342,160860.7594936709,63.335443037974684,1931.0126582278485,544.3670886075948,30960.126582278488,17869.620253164558,15344.303797468354,13655.06329113924,3,2
710,42,2904,Lincoln,Kentucky,355.51411845730024,170527.54820936642,70.23209366391183,2227.6859504132203,616.5585399449031,29877.16942148762,18946.45316804408,16602.066115702477,11885.19283746557,2,1
711,40,600,Linn,Iowa,321.7716666666668,140775.0,58.03166666666666,2550.833333333333,562.4533333333335,30906.0,15642.0,14889.833333333338,11136.5,3,2
712,20,325,Litchfield,Connecticut,341.2123076923077,164233.84615384616,63.53846153846153,2347.692307692308,566.0861538461537,30203.384615384613,18251.692307692305,14482.769230769229,12317.846153846152,2,1
713,1,1,Live Oak,Texas,213.0,104000.0,76.0,800.0,649.0,8700.0,11600.0,17900.0,3300.0,3,2
714,51,1544,Livingston,Louisiana,335.7098445595854,156699.48186528494,66.10362694300522,2137.6295336787557,565.3082901554402,29509.715025906735,17412.24093264249,15604.727979274612,11541.70984455959,3,2
715,1,130,Llano,Texas,300.0,151123.0769230769,58.96153846153847,2311.538461538462,627.3307692307693,19721.538461538457,16786.923076923078,17703.846153846152,4548.461538461538,4,2
716,18,548,Logan,Kentucky,318.6259124087591,153271.897810219,56.28832116788322,2110.2189781021907,532.5948905109489,28420.43795620438,17027.00729927007,13572.992700729928,11826.4598540146,5,3
717,1,42,Long,Georgia,392.0238095238095,183571.42857142855,70.02380952380952,3033.333333333333,713.309523809524,31980.95238095238,20392.85714285714,20119.04761904762,7183.333333333332,3,2
718,12,253,Lonoke,Arkansas,358.7193675889328,173632.4110671937,68.60869565217392,2141.106719367589,569.3833992094862,30852.964426877475,19294.07114624506,15508.30039525692,14022.13438735178,4,3
719,37,574,Lorain,Ohio,339.0940766550523,167081.88153310106,68.72648083623693,2083.2752613240423,616.034843205575,27661.32404181184,18565.853658536587,15585.888501742163,11045.993031358892,4,2
720,3,91,Los Alamos,New Mexico,350.3846153846154,159153.84615384616,69.19780219780219,2743.956043956044,618.6703296703296,28387.91208791209,17686.813186813186,19218.68131868132,8126.3736263736255,2,1
721,546,13297,Los Angeles,California,328.29653305256835,154925.17109122378,61.514627359554865,2395.645634353609,555.2202000451239,29369.045649394604,17212.792359178784,14482.13130781378,11595.938933593994,2,1
722,1,141,Loudon,Tennessee,276.20567375886526,119063.82978723405,41.82978723404256,1962.4113475177305,375.0212765957448,31853.900709219863,13231.914893617022,8524.822695035462,15280.14184397163,4,2
723,28,690,Loudoun,Virginia,349.3260869565217,166108.69565217392,67.5246376811594,2223.478260869565,625.6898550724637,30710.86956521738,18454.927536231884,15574.347826086956,11723.043478260874,2,2
724,4,77,Louisa,Virginia,323.06493506493507,138493.50649350652,59.36363636363636,2912.987012987013,533.8961038961039,30333.76623376624,15393.506493506491,15964.935064935064,9146.75324675325,3,2
725,1,2,Love,Oklahoma,425.0,265000.0,172.0,1200.0,839.5,12100.0,29450.0,27550.0,5300.0,4,2
726,16,207,Lowndes,Georgia,333.93236714975836,152714.97584541063,62.90338164251207,1803.381642512077,468.96135265700485,34009.17874396135,16968.599033816427,11907.246376811596,18642.995169082118,5,3
727,26,930,Lubbock,Texas,321.2763440860215,146439.78494623658,54.65161290322581,2342.365591397849,589.1559139784944,31724.7311827957,16267.63440860215,12727.849462365592,13595.806451612903,2,2
728,59,2623,Lucas,Ohio,330.2459016393443,151197.10255432714,61.29126953869615,2600.6862371330553,580.4532977506669,30185.474647350355,16798.589401448717,15123.560808234844,10582.500953107121,3,2
729,1,2,Luce,Michigan,238.0,125000.0,40.0,750.0,307.0,24400.0,13850.0,4700.0,7950.0,3,3
730,1,18,Lumpkin,Georgia,403.88888888888886,215722.22222222228,79.72222222222223,1261.111111111111,448.2222222222223,37622.22222222222,23972.222222222223,10750.0,22161.11111111111,3,2
731,1,12,Luna,New Mexico,497.83333333333326,266000.0,69.25,3925.0,833.1666666666667,38016.66666666666,29541.666666666664,20833.33333333333,8150.0,2,2
732,33,1464,Luzerne,Pennsylvania,339.8128415300547,160368.85245901646,65.61407103825137,2135.792349726776,560.7021857923496,29852.459016393437,17817.75956284154,15305.259562841533,11768.23770491804,3,2
733,11,157,Lycoming,Pennsylvania,361.61146496815286,172222.92993630574,68.40764331210191,2295.5414012738847,667.1656050955412,30819.745222929938,19131.847133757965,16912.738853503182,10801.273885350316,3,2
734,12,254,Lyon,Nevada,280.71259842519686,129122.04724409447,45.791338582677156,1595.2755905511813,357.58267716535437,30496.456692913387,14344.488188976376,8172.834645669291,14112.598425196853,2,2
735,1,9,Mackinac,Michigan,485.88888888888886,271444.44444444444,137.77777777777777,1244.4444444444443,1048.2222222222224,16555.55555555556,30144.44444444444,35455.555555555555,6311.11111111111,4,2
736,79,2502,Macomb,Michigan,347.8820943245404,167521.98241406874,64.88249400479614,2347.7617905675475,584.2541966426852,29718.42525979217,18613.868904876097,15826.059152677859,11547.921662669864,3,2
737,15,337,Macon,Tennessee,361.0474777448071,173783.38278931752,65.89317507418396,2389.614243323443,639.5934718100891,33177.744807121664,19309.495548961422,14184.866468842733,12747.477744807122,4,3
738,7,150,Macoupin,Illinois,375.08,177766.66666666672,83.05333333333333,2442.666666666666,701.3933333333333,29166.0,19754.0,20068.0,7951.333333333332,3,2
739,13,1300,Madera,California,297.65615384615387,137077.69230769225,50.41384615384613,2197.0,465.64769230769235,29800.692307692305,15228.384615384612,11131.153846153846,13752.153846153848,2,2
740,120,3863,Madison,Arkansas,349.155060833549,167183.53611183018,67.22961428941235,2383.7173181465178,619.5741651566146,29686.538959358004,18575.977219777382,16235.387004918457,11316.64509448614,3,2
741,1,1,Mahnomen,Minnesota,160.0,87000.0,0.0,600.0,128.0,16000.0,9700.0,2200.0,100.0,3,2
742,20,678,Mahoning,Ohio,309.8997050147493,145246.3126843658,54.44395280235989,2493.215339233039,508.37020648967575,28981.415929203537,16131.710914454276,12862.53687315634,12132.59587020649,3,2
743,1,25,Malheur,Oregon,383.72,168800.0,68.24,2928.0,846.48,34688.0,18764.0,19788.0,14388.0,2,2
744,23,313,Manatee,Florida,332.4632587859425,154744.40894568688,62.46964856230031,2229.3929712460063,576.8466453674123,29938.658146964863,17199.361022364214,14926.837060702874,12092.012779552713,3,2
745,2,15,Manistee,Michigan,201.06666666666663,109866.66666666666,45.46666666666667,1500.0,369.6666666666666,18266.666666666668,12193.333333333332,5733.333333333334,8286.666666666666,3,2
746,8,164,Manitowoc,Wisconsin,311.67073170731703,154060.9756097561,63.27439024390245,1827.4390243902442,507.22560975609764,26861.585365853658,17116.46341463415,12992.073170731706,11977.439024390242,3,2
747,7,283,Marathon,Wisconsin,383.5653710247349,180812.72084805658,71.81272084805654,3137.102473498233,699.5371024734985,30083.39222614841,20090.81272084805,20908.480565371032,7338.162544169613,3,2
748,1,2,Marengo,Alabama,212.0,102500.0,22.5,1650.0,200.0,25550.0,11400.0,3350.0,15750.0,5,3
749,469,12656,Maricopa,Arizona,330.1800726927939,155140.64475347634,62.21634007585331,2343.1890012642198,557.9795353982294,29328.136852085918,17236.670353982303,14903.492414664996,11403.942793931705,2,2
750,13,545,Marin,California,345.56697247706427,169396.33027522935,63.332110091743154,2600.550458715597,610.5724770642207,30273.94495412844,18821.834862385324,14390.458715596333,12105.688073394493,2,1
751,4,58,Marinette,Wisconsin,358.3793103448277,169241.37931034484,79.51724137931033,2037.9310344827584,538.2758620689656,26981.03448275862,18801.72413793104,20674.13793103448,9865.51724137931,3,2
752,243,8357,Marion,Ohio,331.6191216943879,154742.37166447286,61.92413545530696,2293.490487016873,556.865980615053,29789.757089864786,17192.497307646277,14852.411152327366,11596.266602847892,4,3
753,1,43,Mariposa,California,403.4883720930232,189953.48837209304,68.79069767441861,2346.511627906977,747.6046511627907,30986.046511627912,21104.651162790702,22297.67441860465,8788.372093023258,3,2
